Word,Count
mean,1.00
hot,2.00
dead!,1.00
That,5.00
fought,1.00
Of,2.00
now!,1.00
hurt,3.00
budge,1.00
made,3.00
deadly,1.00
drawer,1.00
dance.,1.00
Mercutio;,1.00
You,1.00
hurt.,1.00
truce,1.00
injuries,1.00
mortal,1.00
fee-simple,1.00
pitcher,1.00
Could,3.00
I,3.00
in,14.00
for,14.00
good,4.00
wearing,1.00
comes,3.00
end,3.00
kinsman,1.00
doom,1.00
public,2.00
calm,1.00
turn,2.00
reputation,1.00
and,1.00
expressly,1.00
apt,2.00
Gentle,1.00
depart;,1.00
keep,1.00
spleen,1.00
withal,1.00
surgeon.,1.00
name,1.00
that,18.00
spirit,1.00
prince's,1.00
stout,2.00
stabs,1.00
strong,1.00
lenity,1.00
newly,1.00
uttered,1.00
you.,2.00
discords:,1.00
moved,1.00
hath,9.00
canst,1.00
own,1.00
Benvolio;,1.00
behalf;,1.00
moved.,1.00
tis,3.00
The,5.00
than,4.00
Verona,1.00
having,1.00
such,4.00
abuses:,1.00
arithmetic!,1.00
loss,1.00
look,1.00
fell,1.00
hand,2.00
whom,1.00
slain,1.00
Up,1.00
twenty,2.00
doth,3.00
gentleman,3.00
the,46.00
sends,1.00
bow'd,1.00
retire:,1.00
not,10.00
if,2.00
marry,2.00
not.,2.00
all,7.00
eight.,1.00
us?,2.00
purchase,1.00
piercing,1.00
prince,2.00
care,1.00
such,1.00
Which,2.00
discover,1.00
operation,1.00
black,2.00
greeting:,1.00
king,1.00
another,1.00
tailor,1.00
dearly,1.00
speaks,1.00
about,1.00
pleasure,1.00
let,3.00
had,1.00
on,3.00
rage,1.00
ask,1.00
would,2.00
untimely,1.00
before,2.00
let's,1.00
man;,1.00
name,1.00
Alive,1.00
amerce,1.00
Hold,1.00
Follow,1.00
Page,1.00
strife,1.00
taken:,1.00
tears,1.00
up,1.00
shortly,1.00
look,2.00
he's,1.00
use,2.00
was,2.00
slander,1.00
soon,2.00
private,1.00
Easter?,1.00
days,1.00
I.,2.00
more,1.00
end.,1.00
scorn,1.00
friends,1.00
An,2.00
occasion.,1.00
Page,1.00
No,1.00
must,4.00
Prince,2.00
Draws,1.00
farewell;,1.00
grave,1.00
tying,1.00
villain,2.00
enough,2.00
God,1.00
excuse,2.00
worms',1.00
furious,1.00
Exeunt,2.00
bloody,1.00
enters,1.00
